;;;;;;;;;;;;x,,,,,,,,,,,,,
gtfo_QAR_desc;We've had a good run, but it's time to end our rulership of Qara Qoyunlu: if you love something, let it go!;;;;;;;;;;;;x
gtfo_QIC_title;Grant Qi Independence;;;;;;;;;;;;x,,
gtfo_QIC_desc;We've had a good run, but it's time to end our rulership of Qi: if you love something, let it go!;;;;;;;;;;;;x
gtfo_QTO_title;Grant Quito Independence;;;;;;;;;;;;x,,
gtfo_QTO_desc;We've had a good run, but it's time to end our rulership of Quito: if you love something, let it go!;;;;;;;;;;;;x
gtfo_QUE_title;Grant Vinland Independence;;;;;;;;;;;;x,,
gtfo_QUE_desc;We've had a good run, but it's time to end our rulership of Vinland: if you love something, let it go!;;;;;;;;;;;;x
gtfo_RAS_title;Grant Rassids Independence;;;;;;;;;;;;x,,
gtfo_RAS_desc;We've had a good run, but it's time to end our rulership of Rassids: if you love something, let it go!;;;;;;;;;;;;x
gtfo_RDL_title;Grant Ardalan Independence;;;;;;;;;;;;x,,
gtfo_RDL_desc;We've had a good run, but it's time to end our rulership of Ardalan: if you love something, let it go!;;;;;;;;;;;;x
gtfo_REG_title;Grant Regensburg Independence;;;;;;;;;;;;x,,
gtfo_REG_desc;We've had a good run, but it's time to end our rulership of Regensburg: if you love something, let it go!;;;;;;;;;;;;x
gtfo_RHD_title;Grant Rhade Independence;;;;;;;;;;;;x,,
gtfo_RHD_desc;We've had a good run, but it's time to end our rulership of Rhade: if you love something, let it go!;;;;;;;;;;;;x
gtfo_RIG_title;Grant Riga Independence;;;;;;;;;;;;x,,
gtfo_RIG_desc;We've had a good run, but it's time to end our rulership of Riga: if you love something, let it go!;;;;;;;;;;;;x
gtfo_ROT_title;Grant Rothenburg Independence;;;;;;;;;;;;x,,
gtfo_ROT_desc;We've had a good run, but it's time to end our rulership of Rothenburg: if you love something, let it go!;;;;;;;;;;;;x
gtfo_RUP_title;Grant Ruppin Independence;;;;;;;;;;;;x,,
gtfo_RUP_desc;We've had a good run, but it's time to end our rulership of Ruppin: if you love something, let it go!;;;;;;;;;;;;x
gtfo_RUS_title;Grant Russia Independence;;;;;;;;;;;;x,,
gtfo_RUS_desc;We've had a good run, but it's time to end our rulership of Russia: if you love something, let it go!;;;;;;;;;;;;x
gtfo_RWA_title;Grant Rwanda Independence;;;;;;;;;;;;x,,
gtfo_RWA_desc;We've had a good run, but it's time to end our rulership of Rwanda: if you love something, let it go!;;;;;;;;;;;;x
gtfo_RYA_title;Grant Ryazan Independence;;;;;;;;;;;;x,,
gtfo_RYA_desc;We've had a good run, but it's time to end our rulership of Ryazan: if you love something, let it go!;;;;;;;;;;;;x
gtfo_RYU_title;Grant Ryukyu Independence;;;;;;;;;;;;x,,
gtfo_RYU_desc;We've had a good run, but it's time to end our rulership of Ryukyu: if you love something, let it go!;;;;;;;;;;;;x
gtfo_SAK_title;Grant Siak Independence;;;;;;;;;;;;x,,
gtfo_SAK_desc;We've had a good run, but it's time to end our rulership of Siak: if you love something, let it go!;;;;;;;;;;;;x
gtfo_SAX_title;Grant Saxony Independence;;;;;;;;;;;;x,,
gtfo_SAX_desc;We've had a good run, but it's time to end our rulership of Saxony: if you love something, let it go!;;;;;;;;;;;;x
gtfo_SCA_title;Grant Scandinavia Independence;;;;;;;;;;;;x,,
gtfo_SCA_desc;We've had a good run, but it's time to end our rulership of Scandinavia: if you love something, let it go!;;;;;;;;;;;;x
gtfo_SCO_title;Grant Scotland Independence;;;;;;;;;;;;x,,
gtfo_SCO_desc;We've had a good run, but it's time to end our rulership of Scotland: if you love something, let it go!;;;;;;;;;;;;x
gtfo_SER_title;Grant Serbia Independence;;;;;;;;;;;;x,,
gtfo_SER_desc;We've had a good run, but it's time to end our rulership of Serbia: if you love something, let it go!;;;;;;;;;;;;x
gtfo_SGH_title;Grant Songhai Independence;;;;;;;;;;;;x,,
gtfo_SGH_desc;We've had a good run, but it's time to end our rulership of Songhai: if you love something, let it go!;;;;;;;;;;;;x
gtfo_SHY_title;Grant Uzbek Independence;;;;;;;;;;;;x,,
gtfo_SHY_desc;We've had a good run, but it's time to end our rulership of Uzbek: if you love something, let it go!;;;;;;;;;;;;x
gtfo_SIA_title;Grant Ayutthaya Independence;;;;;;;;;;;;x,,
gtfo_SIA_desc;We've had a good run, but it's time to end our rulership of Ayutthaya: if you love something, let it go!;;;;;;;;;;;;x
gtfo_SIB_title;Grant Sibir Independence;;;;;;;;;;;;x,,
gtfo_SIB_desc;We've had a good run, but it's time to end our rulership of Sibir: if you love something, let it go!;;;;;;;;;;;;x
gtfo_SIE_title;Grant Transylvania Independence;;;;;;;;;;;;x,,
gtfo_SIE_desc;We've had a good run, but it's time to end our rulership of Transylvania: if you love something, let it go!;;;;;;;;;;;;x
gtfo_SIN_title;Grant Sindh Independence;;;;;;;;;;;;x,,
gtfo_SIN_desc;We've had a good run, but it's time to end our rulership of Sindh: if you love something, let it go!;;;;;;;;;;;;x
gtfo_SKA_title;Grant Sakalava Independence;;;;;;;;;;;;x,,
gtfo_SKA_desc;We've had a good run, but it's time to end our rulership of Sakalava: if you love something, let it go!;;;;;;;;;;;;x
gtfo_SLO_title;Grant Cilli Independence;;;;;;;;;;;;x,,
gtfo_SLO_desc;We've had a good run, but it's time to end our rulership of Cilli: if you love something, let it go!;;;;;;;;;;;;x
gtfo_SLV_title;Grant Nitra Independence;;;;;;;;;;;;x,,
gtfo_SLV_desc;We've had a good run, but it's time to end our rulership of Nitra: if you love something, let it go!;;;;;;;;;;;;x
gtfo_SMI_title;Grant Sápmi Independence;;;;;;;;;;;;x,,
gtfo_SMI_desc;We've had a good run, but it's time to end our rulership of Sápmi: if you love something, let it go!;;;;;;;;;;;;x
gtfo_SOL_title;Grant Solon Independence;;;;;;;;;;;;x,,
gtfo_SOL_desc;We've had a good run, but it's time to end our rulership of Solon: if you love something, let it go!;;;;;;;;;;;;x
gtfo_SOO_title;Grant So Independence;;;;;;;;;;;;x,,
gtfo_SOO_desc;We've had a good run, but it's time to end our rulership of So: if you love something, let it go!;;;;;;;;;;;;x
gtfo_SRD_title;Grant Sardinia Independence;;;;;;;;;;;;x,,
gtfo_SRD_desc;We've had a good run, but it's time to end our rulership of Sardinia: if you love something, let it go!;;;;;;;;;;;;x
gtfo_SRI_title;Grant Kotte Independence;;;;;;;;;;;;x,,
gtfo_SRI_desc;We've had a good run, but it's time to end our rulership of Kotte: if you love something, let it go!;;;;;;;;;;;;x
gtfo_SRV_title;Grant Shirvan Independence;;;;;;;;;;;;x,,
gtfo_SRV_desc;We've had a good run, but it's time to end our rulership of Shirvan: if you love something, let it go!;;;;;;;;;;;;x
gtfo_SUL_title;Grant Sulu Independence;;;;;;;;;;;;x,,
gtfo_SUL_desc;We've had a good run, but it's time to end our rulership of Sulu: if you love something, let it go!;;;;;;;;;;;;x
gtfo_SUN_title;Grant Sunda Independence;;;;;;;;;;;;x,,
gtfo_SUN_desc;We've had a good run, but it's time to end our rulership of Sunda: if you love something, let it go!;;;;;;;;;;;;x
gtfo_SVY_title;Grant Savoy Independence;;;;;;;;;;;;x,,
gtfo_SVY_desc;We've had a good run, but it's time to end our rulership of Savoy: if you love something, let it go!;;;;;;;;;;;;x
gtfo_SWA_title;Grant Kilwa Independence;;;;;;;;;;;;x,,
gtfo_SWA_desc;We've had a good run, but it's time to end our rulership of Kilwa: if you love something, let it go!;;;;;;;;;;;;x
gtfo_SWE_title;Grant Sweden Independence;;;;;;;;;;;;x,,
gtfo_SWE_desc;We've had a good run, but it's time to end our rulership of Sweden: if you love something, let it go!;;;;;;;;;;;;x
gtfo_SWI_title;Grant Switzerland Independence;;;;;;;;;;;;x,,
gtfo_SWI_desc;We've had a good run, but it's time to end our rulership of Switzerland: if you love something, let it go!;;;;;;;;;;;;x
gtfo_SYC_title;Grant Sicily Independence;;;;;;;;;;;;x,,
gtfo_SYC_desc;We've had a good run, but it's time to end our rulership of Sicily: if you love something, let it go!;;;;;;;;;;;;x
gtfo_SYR_title;Grant Syria Independence;;;;;;;;;;;;x,,
gtfo_SYR_desc;We've had a good run, but it's time to end our rulership of Syria: if you love something, let it go!;;;;;;;;;;;;x
gtfo_TAB_title;Grant Mazandaran Independence;;;;;;;;;;;;x,,
gtfo_TAB_desc;We've had a good run, but it's time to end our rulership of Mazandaran: if you love something, let it go!;;;;;;;;;;;;x
gtfo_TBZ_title;Grant Trebizond Independence;;;;;;;;;;;;x,,
gtfo_TBZ_desc;We've had a good run, but it's time to end our rulership of Trebizond: if you love something, let it go!;;;;;;;;;;;;x
gtfo_TEO_title;Grant Teotitlan Independence;;;;;;;;;;;;x,,
gtfo_TEO_desc;We've had a good run, but it's time to end our rulership of Teotitlan: if you love something, let it go!;;;;;;;;;;;;x
gtfo_TER_title;Grant Trier Independence;;;;;;;;;;;;x,,
gtfo_TER_desc;We've had a good run, but it's time to end our rulership of Trier: if you love something, let it go!;;;;;;;;;;;;x
gtfo_THU_title;Grant Thuringia Independence;;;;;;;;;;;;x,,
gtfo_THU_desc;We've had a good run, but it's time to end our rulership of Thuringia: if you love something, let it go!;;;;;;;;;;;;x
gtfo_TIM_title;Grant Timurids Independence;;;;;;;;;;;;x,,
gtfo_TIM_desc;We've had a good run, but it's time to end our rulership of Timurids: if you love something, let it go!;;;;;;;;;;;;x
gtfo_TLA_title;Grant Tlapanec Independence;;;;;;;;;;;;x,,
gtfo_TLA_desc;We've had a good run, but it's time to end our rulership of Tlapanec: if you love something, let it go!;;;;;;;;;;;;x
gtfo_TLC_title;Grant Tlemcen Independence;;;;;;;;;;;;x,,
gtfo_TLC_desc;We've had a good run, but it's time to end our rulership of Tlemcen: if you love something, let it go!;;;;;;;;;;;;x
gtfo_TLX_title;Grant Tlaxcala Independence;;;;;;;;;;;;x,,
gtfo_TLX_desc;We've had a good run, but it's time to end our rulership of Tlaxcala: if you love something, let it go!;;;;;;;;;;;;x
gtfo_TMB_title;Grant Timbuktu Independence;;;;;;;;;;;;x,,
gtfo_TMB_desc;We've had a good run, but it's time to end our rulership of Timbuktu: if you love something, let it go!;;;;;;;;;;;;x
gtfo_TON_title;Grant Tonala Independence;;;;;;;;;;;;x,,
gtfo_TON_desc;We've had a good run, but it's time to end our rulership of Tonala: if you love something, let it go!;;;;;;;;;;;;x
gtfo_TOT_title;Grant Totonac Independence;;;;;;;;;;;;x,,
gtfo_TOT_desc;We've had a good run, but it's time to end our rulership of Totonac: if you love something, let it go!;;;;;;;;;;;;x
gtfo_TRA_title;Grant Venad Independence;;;;;;;;;;;;x,,
gtfo_TRA_desc;We've had a good run, but it's time to end our rulership of Venad: if you love something, let it go!;;;;;;;;;;;;x
gtfo_TRS_title;Grant Tarascan Independence;;;;;;;;;;;;x,,
gtfo_TRS_desc;We've had a good run, but it's time to end our rulership of Tarascan: if you love something, let it go!;;;;;;;;;;;;x
gtfo_TRT_title;Grant Tirhut Independence;;;;;;;;;;;;x,,
gtfo_TRT_desc;We've had a good run, but it's time to end our rulership of Tirhut: if you love something, let it go!;;;;;;;;;;;;x
gtfo_TTE_title;Grant Ternate Independence;;;;;;;;;;;;x,,
gtfo_TTE_desc;We've had a good run, but it's time to end our rulership of Ternate: if you love something, let it go!;;;;;;;;;;;;x
gtfo_TTL_title;Grant Three Leagues Independence;;;;;;;;;;;;x,,
gtfo_TTL_desc;We've had a good run, but it's time to end our rulership of Three Leagues: if you love something, let it go!;;;;;;;;;;;;x
gtfo_TUN_title;Grant Tunis Independence;;;;;;;;;;;;x,,
gtfo_TUN_desc;We've had a good run, but it's time to end our rulership of Tunis: if you love something, let it go!;;;;;;;;;;;;x
gtfo_TUR_title;Grant Ottomans Independence;;;;;;;;;;;;x,,
gtfo_TUR_desc;We've had a good run, but it's time to end our rulership of Ottomans: if you love something, let it go!;;;;;;;;;;;;x
gtfo_UBH_title;Grant Buha Independence;;;;;;;;;;;;x,,
gtfo_UBH_desc;We've had a good run, but it's time to end our rulership of Buha: if you love something, let it go!;;;;;;;;;;;;x
gtfo_UBV_title;Grant Munich Independence;;;;;;;;;;;;x,,
gtfo_UBV_desc;We've had a good run, but it's time to end our rulership of Munich: if you love something, let it go!;;;;;;;;;;;;x
gtfo_ULM_title;Grant Ulm Independence;;;;;;;;;;;;x,,
gtfo_ULM_desc;We've had a good run, but it's time to end our rulership of Ulm: if you love something, let it go!;;;;;;;;;;;;x
gtfo_URB_title;Grant Urbino Independence;;;;;;;;;;;;x,,
gtfo_URB_desc;We've had a good run, but it's time to end our rulership of Urbino: if you love something, let it go!;;;;;;;;;;;;x
gtfo_URU_title;Grant Rio da Prata Independence;;;;;;;;;;;;x,,
gtfo_URU_desc;We've had a good run, but it's time to end our rulership of Rio da Prata: if you love something, let it go!;;;;;;;;;;;;x
gtfo_USA_title;Grant Nouvelle-Flandre Independence;;;;;;;;;;;;x,,
gtfo_USA_desc;We've had a good run, but it's time to end our rulership of Nouvelle-Flandre: if you love something, let it go!;;;;;;;;;;;;x
gtfo_UTR_title;Grant Utrecht Independence;;;;;;;;;;;;x,,
gtfo_UTR_desc;We've had a good run, but it's time to end our rulership of Utrecht: if you love something, let it go!;;;;;;;;;;;;x
gtfo_VEN_title;Grant Venice Independence;;;;;;;;;;;;x,,
gtfo_VEN_desc;We've had a good run, but it's time to end our rulership of Venice: if you love something, let it go!;;;;;;;;;;;;x
gtfo_VER_title;Grant Verden Independence;;;;;;;;;;;;x,,
gtfo_VER_desc;We've had a good run, but it's time to end our rulership of Verden: if you love something, let it go!;;;;;;;;;;;;x
gtfo_VIJ_title;Grant Vijayanagar Independence;;;;;;;;;;;;x,,
gtfo_VIJ_desc;We've had a good run, but it's time to end our rulership of Vijayanagar: if you love something, let it go!;;;;;;;;;;;;x
gtfo_VNZ_title;Grant Kristiansand Independence;;;;;;;;;;;;x,,
gtfo_VNZ_desc;We've had a good run, but it's time to end our rulership of Kristiansand: if you love something, let it go!;;;;;;;;;;;;x
gtfo_WAD_title;Grant Wadai Independence;;;;;;;;;;;;x,,
gtfo_WAD_desc;We've had a good run, but it's time to end our rulership of Wadai: if you love something, let it go!;;;;;;;;;;;;x
gtfo_WAL_title;Grant Wallachia Independence;;;;;;;;;;;;x,,
gtfo_WAL_desc;We've had a good run, but it's time to end our rulership of Wallachia: if you love something, let it go!;;;;;;;;;;;;x
gtfo_WBG_title;Grant Wurzburg Independence;;;;;;;;;;;;x,,
gtfo_WBG_desc;We've had a good run, but it's time to end our rulership of Wurzburg: if you love something, let it go!;;;;;;;;;;;;x
gtfo_WES_title;Grant Westphalia Independence;;;;;;;;;;;;x,,
gtfo_WES_desc;We've had a good run, but it's time to end our rulership of Westphalia: if you love something, let it go!;;;;;;;;;;;;x
gtfo_WHA_title;Grant Wales Independence;;;;;;;;;;;;x,,
gtfo_WHA_desc;We've had a good run, but it's time to end our rulership of Wales: if you love something, let it go!;;;;;;;;;;;;x
gtfo_WIA_title;Grant Vientiane Independence;;;;;;;;;;;;x,,
gtfo_WIA_desc;We've had a good run, but it's time to end our rulership of Vientiane: if you love something, let it go!;;;;;;;;;;;;x
gtfo_WOL_title;Grant Jolof Independence;;;;;;;;;;;;x,,
gtfo_WOL_desc;We've had a good run, but it's time to end our rulership of Jolof: if you love something, let it go!;;;;;;;;;;;;x
gtfo_WRL_title;Grant Warsangali Independence;;;;;;;;;;;;x,,
gtfo_WRL_desc;We've had a good run, but it's time to end our rulership of Warsangali: if you love something, let it go!;;;;;;;;;;;;x
gtfo_WUR_title;Grant Wurttemberg Independence;;;;;;;;;;;;x,,
gtfo_WUR_desc;We've had a good run, but it's time to end our rulership of Wurttemberg: if you love something, let it go!;;;;;;;;;;;;x
gtfo_X00_title;Grant Beja Independence;;;;;;;;;;;;x,,
gtfo_X00_desc;We've had a good run, but it's time to end our rulership of Beja: if you love something, let it go!;;;;;;;;;;;;x
gtfo_X01_title;Grant Yuin Independence;;;;;;;;;;;;x,,
gtfo_X01_desc;We've had a good run, but it's time to end our rulership of Yuin: if you love something, let it go!;;;;;;;;;;;;x
gtfo_X02_title;Grant Yedisan Independence;;;;;;;;;;;;x,,
gtfo_X02_desc;We've had a good run, but it's time to end our rulership of Yedisan: if you love something, let it go!;;;;;;;;;;;;x
gtfo_X03_title;Grant León Independence;;;;;;;;;;;;x,,
gtfo_X03_desc;We've had a good run, but it's time to end our rulership of León: if you love something, let it go!;;;;;;;;;;;;x
gtfo_X04_title;Grant Luristan Independence;;;;;;;;;;;;x,,
gtfo_X04_desc;We've had a good run, but it's time to end our rulership of Luristan: if you love something, let it go!;;;;;;;;;;;;x
gtfo_X05_title;Grant Latgalia Independence;;;;;;;;;;;;x,,
gtfo_X05_desc;We've had a good run, but it's time to end our rulership of Latgalia: if you love something, let it go!;;;;;;;;;;;;x
gtfo_X06_title;Grant Medina Independence;;;;;;;;;;;;x,,
gtfo_X06_desc;We've had a good run, but it's time to end our rulership of Medina: if you love something, let it go!;;;;;;;;;;;;x
gtfo_X07_title;Grant Passau Independence;;;;;;;;;;;;x,,
gtfo_X07_desc;We've had a good run, but it's time to end our rulership of Passau: if you love something, let it go!;;;;;;;;;;;;x
gtfo_X08_title;Grant Stettin Independence;;;;;;;;;;;;x,,
gtfo_X08_desc;We've had a good run, but it's time to end our rulership of Stettin: if you love something, let it go!;;;;;;;;;;;;x
gtfo_X09_title;Grant Saluzzo Independence;;;;;;;;;;;;x,,
gtfo_X09_desc;We've had a good run, but it's time to end our rulership of Saluzzo: if you love something, let it go!;;;;;;;;;;;;x
gtfo_X10_title;Grant Andalusian Brazil Independence;;;;;;;;;;;;x,,
gtfo_X10_desc;We've had a good run, but it's time to end our rulership of Andalusian Brazil: if you love something, let it go!;;;;;;;;;;;;x
gtfo_X11_title;Grant Arasuka Independence;;;;;;;;;;;;x,,
gtfo_X11_desc;We've had a good run, but it's time to end our rulership of Arasuka: if you love something, let it go!;;;;;;;;;;;;x
gtfo_X12_title;Grant Oseania Independence;;;;;;;;;;;;x,,
gtfo_X12_desc;We've had a good run, but it's time to end our rulership of Oseania: if you love something, let it go!;;;;;;;;;;;;x
gtfo_XAL_title;Grant Xalisco Independence;;;;;;;;;;;;x,,
gtfo_XAL_desc;We've had a good run, but it's time to end our rulership of Xalisco: if you love something, let it go!;;;;;;;;;;;;x
gtfo_XIU_title;Grant Xiu Independence;;;;;;;;;;;;x,,
gtfo_XIU_desc;We've had a good run, but it's time to end our rulership of Xiu: if you love something, let it go!;;;;;;;;;;;;x
gtfo_XMA_title;Grant Madurai Independence;;;;;;;;;;;;x,,
gtfo_XMA_desc;We've had a good run, but it's time to end our rulership of Madurai: if you love something, let it go!;;;;;;;;;;;;x
gtfo_YAT_title;Grant Yatenga Independence;;;;;;;;;;;;x,,
gtfo_YAT_desc;We've had a good run, but it's time to end our rulership of Yatenga: if you love something, let it go!;;;;;;;;;;;;x
gtfo_YEM_title;Grant Yemen Independence;;;;;;;;;;;;x,,
gtfo_YEM_desc;We've had a good run, but it's time to end our rulership of Yemen: if you love something, let it go!;;;;;;;;;;;;x
gtfo_YKA_title;Grant Yaka Independence;;;;;;;;;;;;x,,
gtfo_YKA_desc;We've had a good run, but it's time to end our rulership of Yaka: if you love something, let it go!;;;;;;;;;;;;x
gtfo_YOK_title;Grant Yokotan Independence;;;;;;;;;;;;x,,
gtfo_YOK_desc;We've had a good run, but it's time to end our rulership of Yokotan: if you love something, let it go!;;;;;;;;;;;;x
gtfo_YRK_title;Grant Yarkand Independence;;;;;;;;;;;;x,,
gtfo_YRK_desc;We've had a good run, but it's time to end our rulership of Yarkand: if you love something, let it go!;;;;;;;;;;;;x
gtfo_ZAF_title;Grant Macina Independence;;;;;;;;;;;;x,,
gtfo_ZAF_desc;We've had a good run, but it's time to end our rulership of Macina: if you love something, let it go!;;;;;;;;;;;;x
gtfo_ZAP_title;Grant Zapotec Independence;;;;;;;;;;;;x,,
gtfo_ZAP_desc;We've had a good run, but it's time to end our rulership of Zapotec: if you love something, let it go!;;;;;;;;;;;;x
gtfo_ZIM_title;Grant Mutapa Independence;;;;;;;;;;;;x,,
gtfo_ZIM_desc;We've had a good run, but it's time to end our rulership of Mutapa: if you love something, let it go!;;;;;;;;;;;;x
gtfo_ZUN_title;Grant Dzungar Independence;;;;;;;;;;;;x,,
gtfo_ZUN_desc;We've had a good run, but it's time to end our rulership of Dzungar: if you love something, let it go!;;;;;;;;;;;;x
gtfo_ZZZ_title;Grant Zazzau Independence;;;;;;;;;;;;x,,
gtfo_ZZZ_desc;We've had a good run, but it's time to end our rulership of Zazzau: if you love something, let it go!;;;;;;;;;;;;x
